Year,Region,Value
2013,Enzkreis,6
2014,Enzkreis,8
2015,Enzkreis,12
2016,Enzkreis,12
2017,Enzkreis,12
2018,Enzkreis,11
2019,Enzkreis,7
2020,Enzkreis,6
2013,Land BW,10
2014,Land BW,13
2015,Land BW,18
2016,Land BW,19
2017,Land BW,20
2018,Land BW,19
2019,Land BW,16
2020,Land BW,14
