Year,Region,gruppe.beschaeftigt,Value
2022,Enzkreis,Wasserkraftanlagen - Anforderungen erfüllt,12
2022,Enzkreis,Wasserkraftanlagen - Anforderungen noch nicht erfüllt,18
2022,Enzkreis,Umsetzungsgrad,40
