Year,Region,Value
2016,Enzkreis,58.9
2017,Enzkreis,69.9
2018,Enzkreis,66.7
2019,Enzkreis,66.7
2020,Enzkreis,66.6
2016,Land BW,56.1
2017,Land BW,62.3
2018,Land BW,66.1
2019,Land BW,68.6
2020,Land BW,69.7
