Value,Disaggregation combinations using this value,Number of indicators
"Fahrrad, Pedelec, E-Bike",2,1
Fußverkehr,2,1
PKW als Fahrer,2,1
PKW als Mitfahrer,2,1
ÖPNV,2,1
