Indicator,Disaggregation combinations using this value
#1-1,1
#1-2-a,2
#1-2-b,1
#10-1,3
#10-2,1
#10-3,1
#11-3,2
#11-4,1
#11-6,1
#11-7,5
#11-8,3
#12-1,1
#2-2,2
#2-3,1
#3-2,1
#3-3,2
#3-4,2
#3-5-c,1
#4-1-a,4
#4-1-b,4
#4-2,1
#4-3,3
#4-5,1
#4-6,1
#4-7,1
#8-2,2
#8-4,1
#9-2,2
#9-4,1
#9-5-b,1
#9-6-a,1
