Value,Disaggregation combinations using this value,Number of indicators
Akquirierte Fördermittel (kumuliert) [€],1,1
Akquirierte Fördermittel [€],1,1
Aufgewendete Eigenmittel (kumuliert) [€],1,1
Aufgewendete Eigenmittel [€],1,1
