Indicator,Disaggregation combinations using this value
#10-4,2
#11-1-a,2
#11-1-b,2
#11-2,2
#11-3,2
#11-4,2
#11-5,2
#11-6,2
#11-7,2
#11-8,2
#11-9,2
#12-1,2
#12-2,2
#12-3,2
#12-4,2
#12-5,2
#12-6,2
#13-1-a,2
#13-1-b,2
#13-3,2
#14-1,2
#15-1,2
#15-2,2
#15-3,2
#15-4,2
#15-5,2
#16-1,2
#16-2,2
#16-3,2
#16-4,2
#17-3,2
#8-2,2
