Value,Disaggregation combinations using this value,Number of indicators
Umsetzungsgrad [%],1,1
Wasserschutzgebiete (fachtechnisch abgegrenzt),1,1
Wasserschutzgebiete (rechtskräftig ausgewiesen),1,1
