Value,Disaggregation combinations using this value,Number of indicators
Fuhrpark,2,2
Gewerbe und Sonstiges,1,1
Haushalte,1,1
Heizenergie,2,2
Industrie,1,1
Straßenmeisterei,2,2
Stromverbrauch,2,2
Verkehr,1,1
Wasserverbrauch,2,2
