Value,Disaggregation combinations using this value,Number of indicators
"Berg-/Tagebau, Grube, Steinbruch",1,1
Gewässer,1,1
Landwirtschaft,1,1
Siedlungs- und Verkehrsfläche,1,1
Wald,1,1
