Value,Disaggregation combinations using this value,Number of indicators
Anschlussgrad der Bevölkerung an kommunale Kläranlagen - Enzkreis,1,1
Anschlussgrad der Bevölkerung an kommunale Kläranlagen - Land BW,1,1
