Indicator
#1-1
#1-2-a
#1-2-b
#10-1
#10-2
#10-3
#11-1-a
#11-2
#11-3
#11-4
#11-6
#11-7
#11-8
#12-1
#13-1-a
#13-1-b
#13-2
#2-1
#2-2
#2-3
#3-2
#3-3
#3-4
#3-5-a
#3-5-b
#3-5-c
#3-6-a
#3-6-b
#3-7
#3-8-a
#3-8-b
#4-1-a
#4-1-b
#4-2
#4-3
#4-5
#4-6
#4-7
#8-2
#8-4
#9-1
#9-2
#9-4
#9-5-a
#9-5-b
#9-6-a
#9-6-b
