Value,Disaggregation combinations using this value,Number of indicators
"Abriebemissionen (Reifen, Bremsen)",1,1
Busse,2,2
Diesel Pkw,2,2
Krafträder,2,2
Leichte Nutzfahrzeuge,2,2
Otto Pkw,2,2
Schwere Nutzfahrzeuge,2,2
