Value,Disaggregation combinations using this value,Number of indicators
Flora-Fauna-Habitat-Gebiete (FFH),1,1
Landschaftsschutzgebiete,1,1
Naturparks,1,1
Naturschutzgebiete,1,1
Vogelschutz-Gebiete (SPA),1,1
