Value,Disaggregation combinations using this value,Number of indicators
Bannwald,1,1
Bodenschutz,1,1
Erholungswald Stufe 2,1,1
Immissionsschutz,1,1
Klimaschutz,1,1
Landschaftsschutzgebiet,1,1
Naturdenkmal,1,1
Naturpark,1,1
Naturschutzgebiet,1,1
Schonwald,1,1
Sichtschutz,1,1
Waldrefugien,1,1
Wasser- und Quellschutzgebiete,1,1
