Value,Disaggregation combinations using this value,Number of indicators
Medianeinkommen - Frauen [€],1,1
Medianeinkommen - gesamt [€],1,1
Medianeinkommen - Männer [€],1,1
Verdienstabstand Frauen und Männer - Enzkreis [%],1,1
Verdienstabstand Frauen und Männer - Land BW [%],1,1
