Year,Units,Value
2010,Innovationsindex,24.6
2012,Innovationsindex,24.6
2014,Innovationsindex,25.6
2016,Innovationsindex,23.4
2018,Innovationsindex,25.4
2020,Innovationsindex,24.0
2010,Rang in BW (von 44),25.0
2012,Rang in BW (von 44),25.0
2014,Rang in BW (von 44),25.0
2016,Rang in BW (von 44),25.0
2018,Rang in BW (von 44),25.0
2020,Rang in BW (von 44),25.0
