Year,Region,Value
2013,Enzkreis,-27
2014,Enzkreis,-23
2015,Enzkreis,-15
2016,Enzkreis,-13
2017,Enzkreis,-12
2018,Enzkreis,-12
2019,Enzkreis,-16
2020,Enzkreis,-15
2013,Land BW,16
2014,Land BW,20
2015,Land BW,29
2016,Land BW,31
2017,Land BW,31
2018,Land BW,29
2019,Land BW,21
2020,Land BW,16
